thr=120 S/D~=118 wchan=[('futex_wait', 110), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@0%, Loading.Preload@0%, GenerateChunks@0%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@28%, Job.Worker 28@2%, Job.Worker 2@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@29%, ChunkRegenerati@1%, Job.Worker 3@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@28%, Job.Worker 2@2%, Job.Worker 20@2%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@27%, Job.Worker 16@2%, ChunkCalc@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@35%, Job.Worker 1@2%, Job.Worker 2@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@69%, ChunkRegenerati@1%, Job.Worker 3@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 8@2%, Job.Worker 2@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 4@1%, Job.Worker 6@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, Job.Worker 1@2%, Job.Worker 2@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@26%, Thread Pool Wor@7%, Job.Worker 2@1%]
thr=121 S/D~=120 wchan=[('futex_wait', 112), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@38%, Job.Worker 3@2%, GenerateChunks@1%]
thr=121 S/D~=120 wchan=[('futex_wait', 112), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@37%, Job.Worker 13@2%, SaveChunks /hom@1%]
thr=121 S/D~=120 wchan=[('futex_wait', 112), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@28%, Job.Worker 1@2%, ChunkRegenerati@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@42%, Job.Worker 7@2%, Job.Worker 3@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Job.Worker 2@2%, Job.Worker 1@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@25%, Job.Worker 3@1%, Job.Worker 6@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap1/probe-15s/apm/session_20260822_083749_pid829742/threads/threads.jsonl
