thr=133 S/D~=132 wchan=[('futex_wait', 124), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@26%, Thread Pool Wor@7%, SaveChunks /hom@1%]
thr=132 S/D~=131 wchan=[('futex_wait', 123), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@32%, Job.Worker 1@2%, Job.Worker 4@1%]
thr=132 S/D~=131 wchan=[('futex_wait', 123), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[GenerateChunks@47%, 7DaysToDieServe@39%, ChunkRegenerati@20%]
thr=132 S/D~=131 wchan=[('futex_wait', 123), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@38%, ChunkRegenerati@2%, Job.Worker 2@2%]
thr=132 S/D~=129 wchan=[('futex_wait', 121), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@46%, ChunkRegenerati@30%, GenerateChunks@29%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, ChunkRegenerati@5%, Job.Worker 1@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, SaveChunks /hom@3%, Job.Worker 6@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@27%, Job.Worker 19@2%, GenerateChunks@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Job.Worker 3@2%, Job.Worker 1@1%]
thr=128 S/D~=126 wchan=[('futex_wait', 118), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@27%, Job.Worker 8@2%, Job.Worker 15@2%]
thr=132 S/D~=131 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@37%, GenerateChunks@19%, ChunkRegenerati@9%]
thr=132 S/D~=132 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, GenerateChunks@27%, ChunkRegenerati@10%]
thr=132 S/D~=132 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@42%, ChunkRegenerati@27%, GenerateChunks@22%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, ChunkRegenerati@6%, Job.Worker 7@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@34%, SaveChunks /hom@4%, Job.Worker 1@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, Job.Worker 5@1%, Job.Worker 6@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap1/wander-2bot/apm/session_20260822_085145_pid855510/threads/threads.jsonl
