thr=129 S/D~=129 wchan=[('futex_wait', 120), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 1@2%, SaveChunks /hom@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@37%, Job.Worker 13@2%, Job.Worker 2@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@30%, Job.Worker 1@2%, Job.Worker 5@2%]
thr=128 S/D~=126 wchan=[('futex_wait', 118), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@31%, Job.Worker 10@2%, Job.Worker 2@1%]
thr=128 S/D~=120 wchan=[('futex_wait', 109), ('0', 11), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@43%, GenerateChunks@20%, ChunkRegenerati@12%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, ChunkRegenerati@2%, Job.Worker 9@2%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@39%, ChunkRegenerati@22%, GenerateChunks@21%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@37%, ChunkRegenerati@4%, SaveChunks /hom@3%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 2@2%, Job.Worker 11@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, ChunkRegenerati@1%, Job.Worker 1@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap2/horde-lite/apm/session_20260822_090853_pid887601/threads/threads.jsonl
