thr=134 S/D~=132 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, SaveChunks /hom@3%, Job.Worker 2@2%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Thread Pool Wor@7%, Job.Worker 11@2%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@27%, ChunkRegenerati@1%, SaveChunks /hom@1%]
thr=132 S/D~=132 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 4@2%, Job.Worker 1@1%]
thr=133 S/D~=132 wchan=[('futex_wait', 124), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[GenerateChunks@48%, 7DaysToDieServe@39%, ChunkRegenerati@21%]
thr=133 S/D~=122 wchan=[('futex_wait', 113), ('0', 12), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@39%, ChunkRegenerati@2%, Job.Worker 1@2%]
thr=133 S/D~=132 wchan=[('futex_wait', 124), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@39%, ChunkRegenerati@37%, GenerateChunks@27%]
thr=129 S/D~=129 wchan=[('futex_wait', 120), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, ChunkRegenerati@4%, Job.Worker 8@2%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, SaveChunks /hom@3%, Job.Worker 2@2%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, ChunkRegenerati@1%, Job.Worker 1@1%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 1@2%, Job.Worker 2@1%]
thr=129 S/D~=129 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, SaveChunks /hom@1%, Job.Worker 6@1%]
thr=133 S/D~=131 wchan=[('futex_wait', 123), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@41%, GenerateChunks@21%, NCS_Writer_15_0@9%]
thr=133 S/D~=133 wchan=[('futex_wait', 124), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, GenerateChunks@8%, ChunkRegenerati@2%]
thr=133 S/D~=116 wchan=[('futex_wait', 106), ('0', 19), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, GenerateChunks@22%, ChunkRegenerati@21%]
thr=129 S/D~=128 wchan=[('futex_wait', 120), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@41%, ChunkRegenerati@26%, GenerateChunks@11%]
thr=125 S/D~=124 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@39%, SaveChunks /hom@3%, Job.Worker 2@2%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, Job.Worker 19@2%, Job.Worker 1@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap2/wander-2bot/apm/session_20260822_090717_pid887601/threads/threads.jsonl
