thr=125 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@0%, Loading.Preload@0%, GenerateChunks@0%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, Job.Worker 7@2%, Job.Worker 26@2%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, ChunkRegenerati@1%, Job.Worker 1@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 1@1%, Job.Worker 2@1%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, GenerateChunks@1%, Job.Worker 1@1%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, GenerateChunks@21%, ChunkRegenerati@5%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, Job.Worker 1@2%, Job.Worker 15@2%]
thr=125 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, GenerateChunks@24%, ChunkRegenerati@8%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, ChunkRegenerati@2%, Job.Worker 1@2%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, GenerateChunks@1%, Job.Worker 1@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@45%, Job.Worker 2@1%, Job.Worker 3@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Job.Worker 17@2%, ChunkRegenerati@1%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 1@2%, Job.Worker 4@1%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@48%, 7DaysToDieServe@41%, NCS_Writer_1_0@9%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, ChunkRegenerati@4%, ChunkCalc@3%]
thr=125 S/D~=125 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, GenerateChunks@24%, ChunkCalc@4%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, ChunkRegenerati@9%, Job.Worker 1@2%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, ChunkRegenerati@1%, Job.Worker 5@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, Job.Worker 3@2%, Job.Worker 1@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap2/join-probe/apm/session_20260822_090358_pid887601/threads/threads.jsonl
